antecedents,consequents,support,lift,confidence
frozenset({'Potato Chips'}),frozenset({'Non-potato Chips'}),0.01584203481097998,2.777319097258437,0.23783973318764118
frozenset({'Non-potato Chips'}),frozenset({'Potato Chips'}),0.01584203481097998,2.777319097258437,0.18499173889190157
frozenset({'Snacks for Drinks'}),frozenset({'Non-potato Chips'}),0.01270154572135519,2.706023902069979,0.23173426615005005
frozenset({'Non-potato Chips'}),frozenset({'Snacks for Drinks'}),0.01270154572135519,2.706023902069979,0.1483193956864648
frozenset({'Tea'}),frozenset({'Non-potato Chips'}),0.014725591482767638,1.0156111587801095,0.08697332879937893
frozenset({'Non-potato Chips'}),frozenset({'Tea'}),0.014725591482767638,1.0156111587801095,0.1719547272248702
frozenset({'Rice  Offsite'}),frozenset({'Other Cuisine'}),0.013238720351178594,1.0175716859420438,0.08856413032814583
frozenset({'Other Cuisine'}),frozenset({'Rice  Offsite'}),0.013238720351178594,1.0175716859420438,0.15210838674246915
frozenset({'Tea'}),frozenset({'Other Cuisine'}),0.012438118324525715,0.8440636161617506,0.07346289321895791
frozenset({'Other Cuisine'}),frozenset({'Tea'}),0.012438118324525715,0.8440636161617506,0.14290974220081
frozenset({'Tea'}),frozenset({'Potato Chips'}),0.011446870903466352,1.0150176052004354,0.06760831766766542
frozenset({'Potato Chips'}),frozenset({'Tea'}),0.011446870903466352,1.0150176052004354,0.17185423173207864
frozenset({'Tea'}),frozenset({'Rice  Offsite'}),0.02390508575104916,0.94452945140681,0.14118990639095091
frozenset({'Rice  Offsite'}),frozenset({'Tea'}),0.02390508575104916,0.9445294514068099,0.15991977123173687
frozenset({'Yogurt'}),frozenset({'Rice  Offsite'}),0.011031633285165045,0.9817184769275717,0.14674898665491354
frozenset({'Rice  Offsite'}),frozenset({'Yogurt'}),0.011031633285165045,0.9817184769275717,0.07379920279928637
